ticker,name
AAPL,Apple Inc.
MSFT,Microsoft Corporation
NVDA,NVIDIA Corporation
TSM,Taiwan Semiconductor Manufacturing Company Limited
ASML,ASML Holding N.V.
AVGO,Broadcom Inc.
ORCL,Oracle Corporation
CSCO,Cisco Systems
ACN,Accenture plc
TXN,Texas Instruments Incorporated
ADBE,Adobe Inc.
QCOM,QUALCOMM Incorporated
CRM,Salesforce
IBM,International Business Machines Corporation
SAP,SAP SE
INTU,Intuit Inc.
INTC,Intel Corporation
AMD,Advanced Micro Devices
SONY,Sony Group Corporation
AMAT,Applied Materials
ADI,Analog Devices
NOW,ServiceNow
INFY,Infosys Limited
FISV,Fiserv
LRCX,Lam Research Corporation
MU,Micron Technology
KLAC,KLA Corporation
UBER,Uber Technologies
VMW,VMware
SNPS,Synopsys
SHOP,Shopify Inc.
APH,Amphenol Corporation
PANW,Palo Alto Networks
SNOW,Snowflake Inc.
CDNS,Cadence Design Systems
WDAY,Workday
MSI,Motorola Solutions
NXPI,NXP Semiconductors N.V.
ADSK,Autodesk
FIS,Fidelity National Information Services
FTNT,Fortinet
SQ,Block
MCHP,Microchip Technology Incorporated
ANET,Arista Networks
TEL,TE Connectivity Ltd.
TEAM,Atlassian Corporation
MRVL,Marvell Technology
GFS,GLOBALFOUNDRIES Inc.
STM,STMicroelectronics N.V.
KEYS,Keysight Technologies
DELL,Dell Technologies Inc.
CTSH,Cognizant Technology Solutions Corporation
ON,ON Semiconductor Corporation
GLW,Corning Incorporated
HPQ,HP Inc.
NOK,Nokia Oyj
IT,Gartner
CRWD,CrowdStrike Holdings
CDW,CDW Corporation
DDOG,Datadog
FTV,Fortive Corporation
CAJ,Canon Inc.
ANSS,ANSYS
ERIC,Telefonaktiebolaget LM Ericsson (publ)
ZM,Zoom Video Communications
VRSN,VeriSign
GIB,CGI Inc.
HPE,Hewlett Packard Enterprise Company
EPAM,EPAM Systems
PAYC,Paycom Software
TDY,Teledyne Technologies Incorporated
SEDG,SolarEdge Technologies
MPWR,Monolithic Power Systems
GRMN,Garmin Ltd.
UMC,United Microelectronics Corporation
ZS,Zscaler
UI,Ubiquiti Inc.
NET,Cloudflare
FSLR,First Solar
BR,Broadridge Financial Solutions
CHKP,Check Point Software Technologies Ltd.
SWKS,Skyworks Solutions
PLTR,Palantir Technologies Inc.
FICO,Fair Isaac Corporation
HUBS,HubSpot
SPLK,Splunk Inc.
PTC,PTC Inc.
TER,Teradyne
LDOS,Leidos Holdings
ASX,ASE Technology Holding Co.
TYL,Tyler Technologies
FLT,FLEETCOR Technologies
AKAM,Akamai Technologies
AZPN,Aspen Technology
NTAP,NetApp
ZBRA,Zebra Technologies Corporation
TRMB,Trimble Inc.
U,Unity Software Inc.
SSNC,SS&C Technologies Holdings
JKHY,Jack Henry & Associates
NICE,NICE Ltd.
BILL,Bill.com Holdings
ZI,ZoomInfo Technologies Inc.
DOCU,DocuSign
GDDY,GoDaddy Inc.
PCTY,Paylocity Holding Corporation
DT,Dynatrace
STX,Seagate Technology Holdings plc
WDC,Western Digital Corporation
BSY,Bentley Systems
OKTA,Okta
ENTG,Entegris
DOX,Amdocs Limited
JNPR,Juniper Networks
CDAY,Ceridian HCM Holding Inc.
COIN,Coinbase Global
FLEX,Flex Ltd.
TOST,Toast
QRVO,Qorvo
WOLF,Wolfspeed
LSCC,Lattice Semiconductor Corporation
LOGI,Logitech International S.A.
JBL,Jabil Inc.
SNX,TD SYNNEX Corporation
BKI,Black Knight
YMM,Full Truck Alliance Co. Ltd.
FFIV,F5
PSTG,Pure Storage
CGNX,Cognex Corporation
PSFE,Paysafe Limited
DBX,Dropbox
G,Genpact Limited
OTEX,Open Text Corporation
MANH,Manhattan Associates
HOOD,Robinhood Markets
NTNX,Nutanix
CIEN,Ciena Corporation
GLOB,Globant S.A.
GTLB,GitLab Inc.
PATH,UiPath Inc.
