ticker,name
BHP,BHP Group Limited
LIN,Linde plc
RIO,Rio Tinto Group
VALE,Vale S.A.
CTA-PB,E. I. du Pont de Nemours and Company
APD,Air Products and Chemicals
SHW,The Sherwin-Williams Company
FCX,Freeport-McMoRan Inc.
CTA-PA,E. I. du Pont de Nemours and Company
SCCO,Southern Copper Corporation
CTVA,Corteva
ECL,Ecolab Inc.
NTR,Nutrien Ltd.
NUE,Nucor Corporation
NEM,Newmont Corporation
DOW,Dow Inc.
DD,DuPont de Nemours
PPG,PPG Industries
GOLD,Barrick Gold Corporation
CRH,CRH plc
ALB,Albemarle Corporation
FNV,Franco-Nevada Corporation
LYB,LyondellBasell Industries N.V.
IFF,International Flavors & Fragrances Inc.
SQM,Sociedad Química y Minera de Chile S.A.
VMC,Vulcan Materials Company
AEM,Agnico Eagle Mines Limited
MLM,Martin Marietta Materials
MT,ArcelorMittal S.A.
TECK,Teck Resources Limited
STLD,Steel Dynamics
CF,CF Industries Holdings
WPM,Wheaton Precious Metals Corp.
PKX,POSCO Holdings Inc.
FMC,FMC Corporation
MOS,The Mosaic Company
AVTR,Avantor
WLK,Westlake Corporation
RPM,RPM International Inc.
SUZ,Suzano S.A.
RS,Reliance Steel & Aluminum Co.
CE,Celanese Corporation
EMN,Eastman Chemical Company
SSL,Sasol Limited
ICL,ICL Group Ltd
GFI,Gold Fields Limited
GGB,Gerdau S.A.
JHX,James Hardie Industries plc
AU,AngloGold Ashanti Limited
CLF,Cleveland-Cliffs Inc.
SBSW,Sibanye Stillwater Limited
AA,Alcoa Corporation
OLN,Olin Corporation
RGLD,Royal Gold
WFG,West Fraser Timber Co. Ltd.
TRQ,Turquoise Hill Resources Ltd.
ASH,Ashland Inc.
TX,Ternium S.A.
AXTA,Axalta Coating Systems Ltd.
X,United States Steel Corporation
CMC,Commercial Metals Company
MP,MP Materials Corp.
UNVR,Univar Solutions Inc.
AUY,Yamana Gold Inc.
HUN,Huntsman Corporation
EXP,Eagle Materials Inc.
UFPI,UFP Industries
CC,The Chemours Company
ESI,Element Solutions Inc
BCPC,Balchem Corporation
LTHM,Livent Corporation
FUL,H.B. Fuller Company
SSD,Simpson Manufacturing Co.
CBT,Cabot Corporation
EVA,Enviva Inc.
AGI,Alamos Gold Inc.
BAK,Braskem S.A.
SUM,Summit Materials
PAAS,Pan American Silver Corp.
HL,Hecla Mining Company
KWR,Quaker Chemical Corporation
LAC,Lithium Americas Corp.
SSRM,SSR Mining Inc.
AVNT,Avient Corporation
SXT,Sensient Technologies Corporation
NEU,NewMarket Corporation
SMG,The Scotts Miracle-Gro Company
BCC,Boise Cascade Company
NGVT,Ingevity Corporation
MEOH,Methanex Corporation
IOSP,Innospec Inc.
SCL,Stepan Company
AG,First Majestic Silver Corp.
SLVM,Sylvamo Corporation
AMR,Alpha Metallurgical Resources
WDFC,WD-40 Company
OR,Osisko Gold Royalties Ltd
TROX,Tronox Holdings plc
BVN,Compañía de Minas Buenaventura S.A.A.
TFPM,Triple Flag Precious Metals Corp.
MTX,Minerals Technologies Inc.
GPRE,Green Plains Inc.
HCC,Warrior Met Coal
CMP,Compass Minerals International
MTRN,Materion Corporation
CSTM,Constellium SE
RFP,Resolute Forest Products Inc.
SAND,Sandstorm Gold Ltd.
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima
TGLS,Tecnoglass Inc.
EGO,Eldorado Gold Corporation
PRM,Perimeter Solutions
HBM,Hudbay Minerals Inc.
KALU,Kaiser Aluminum Corporation
ERO,Ero Copper Corp.
UAN,CVR Partners
ASIX,AdvanSix Inc.
ECVT,Ecovyst Inc.
LXU,LSB Industries
OEC,Orion Engineered Carbons S.A.
MATV,Mativ Holdings
KRO,Kronos Worldwide
SA,Seabridge Gold Inc.
SCHN,Schnitzer Steel Industries
TSE,Trinseo PLC
