ticker,name
XOM,Exxon Mobil Corporation
CVX,Chevron Corporation
SHEL,Shell plc
TTE,TotalEnergies SE
COP,ConocoPhillips
EQNR,Equinor ASA
BP,BP p.l.c.
ENB,Enbridge Inc.
EOG,EOG Resources
SLB,Schlumberger Limited
CNQ,Canadian Natural Resources Limited
PBR,Petróleo Brasileiro S.A. - Petrobras
OXY,Occidental Petroleum Corporation
PBR-A,Petróleo Brasileiro S.A. - Petrobras
PXD,Pioneer Natural Resources Company
EPD,Enterprise Products Partners L.P.
MPC,Marathon Petroleum Corporation
E,Eni S.p.A.
PSX,Phillips 66
VLO,Valero Energy Corporation
WDS,Woodside Energy Group Ltd
TRP,TC Energy Corporation
HES,Hess Corporation
SU,Suncor Energy Inc.
WMB,The Williams Companies
KMI,Kinder Morgan
DVN,Devon Energy Corporation
ET,Energy Transfer LP
CVE,Cenovus Energy Inc.
HAL,Halliburton Company
MPLX,MPLX LP
OKE,ONEOK
BKR,Baker Hughes Company
FANG,Diamondback Energy
TS,Tenaris S.A.
TPL,Texas Pacific Land Corporation
CTRA,Coterra Energy Inc.
PBA,Pembina Pipeline Corporation
EC,Ecopetrol S.A.
MRO,Marathon Oil Corporation
TRGP,Targa Resources Corp.
APA,APA Corporation
EQT,EQT Corporation
CHK,Chesapeake Energy Corporation
OVV,Ovintiv Inc.
MMP,Magellan Midstream Partners
DINO,HF Sinclair Corporation
AR,Antero Resources Corporation
WES,Western Midstream Partners
CCJ,Cameco Corporation
PAA,Plains All American Pipeline
NOV,NOV Inc.
DCP,DCP Midstream
HESM,Hess Midstream LP
MTDR,Matador Resources Company
SWN,Southwestern Energy Company
MUR,Murphy Oil Corporation
RRC,Range Resources Corporation
MGY,Magnolia Oil & Gas Corporation
DCP-PC,DCP Midstream
YPF,YPF Sociedad Anónima
NFG,National Fuel Gas Company
PDCE,PDC Energy
CHX,ChampionX Corporation
VVV,Valvoline Inc.
CHRD,Chord Energy Corporation
DTM,DT Midstream
CSAN,Cosan S.A.
ENLC,EnLink Midstream
VNOM,Viper Energy Partners LP
FTI,TechnipFMC plc
AM,Antero Midstream Corporation
PR,Permian Resources Corporation
HP,Helmerich & Payne
PBF,PBF Energy Inc.
CIVI,Civitas Resources
NE,Noble Corporation Plc
VAL,Valaris Limited
DEN,Denbury Inc.
SM,SM Energy Company
BTU,Peabody Energy Corporation
ERF,Enerplus Corporation
CPG,Crescent Point Energy Corp.
EURN,Euronav NV
SUN,Sunoco LP
PTEN,Patterson-UTI Energy
BSM,Black Stone Minerals
CRK,Comstock Resources
STNG,Scorpio Tankers Inc.
CRC,California Resources Corporation
ETRN,Equitrans Midstream Corporation
WHD,Cactus
WFRD,Weatherford International plc
CVI,CVR Energy
FRO,Frontline Ltd.
CNX,CNX Resources Corporation
CEQP,Crestwood Equity Partners LP
PAGP,Plains GP Holdings
VET,Vermilion Energy Inc.
LBRT,Liberty Energy Inc.
