ticker,name
NEE,NextEra Energy
DUK,Duke Energy Corporation
SO,The Southern Company
NEE-PR,NextEra Energy
DUK-PA,Duke Energy Corporation
SRE,Sempra
AEP,American Electric Power Company
D,Dominion Energy
NGG,National Grid plc
EXC,Exelon Corporation
XEL,Xcel Energy Inc.
ED,Consolidated Edison
PCG,PG&E Corporation
WEC,WEC Energy Group
PEG,Public Service Enterprise Group Incorporated
ES,Eversource Energy
CEG,Constellation Energy Corporation
AWK,American Water Works Company
EIX,Edison International
ETR,Entergy Corporation
FE,FirstEnergy Corp.
AEE,Ameren Corporation
DTE,DTE Energy Company
PPL,PPL Corporation
FTS,Fortis Inc.
CNP,CenterPoint Energy
AES,The AES Corporation
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás
CMS,CMS Energy Corporation
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás
BEP,Brookfield Renewable Partners L.P.
ELP,Companhia Paranaense de Energia - COPEL
NMK-PC,Niagara Mohawk Power Corporation PFD 3.90%
AGR,Avangrid
ATO,Atmos Energy Corporation
BIP,Brookfield Infrastructure Partners L.P.
EVRG,Evergy
LNT,Alliant Energy Corporation
WTRG,Essential Utilities
NI,NiSource Inc.
KEP,Korea Electric Power Corporation
NFE,New Fortress Energy Inc.
NI-PB,NiSource Inc.
VST,Vistra Corp.
PNW,Pinnacle West Capital Corporation
UGI,UGI Corporation
OGE,OGE Energy Corp.
CMS-PB,Consumers Energy Company
NRG,NRG Energy
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP
CWEN,Clearway Energy
CWEN-A,Clearway Energy
NEP,NextEra Energy Partners
BEPC,Brookfield Renewable Corporation
IDA,IDACORP
ORA,Ormat Technologies
POR,Portland General Electric Company
AQN,Algonquin Power & Utilities Corp.
BIPC,Brookfield Infrastructure Corporation
SWX,Southwest Gas Holdings
NJR,New Jersey Resources Corporation
BKH,Black Hills Corporation
HE,Hawaiian Electric Industries
OGS,ONE Gas
SJI,South Jersey Industries
PNM,PNM Resources
SR-PA,Spire Inc.
ALE,ALLETE
SR,Spire Inc.
AWR,American States Water Company
CWT,California Water Service Group
NWE,NorthWestern Corporation
AVA,Avista Corporation
AY,Atlantica Sustainable Infrastructure plc
LFG,Archaea Energy Inc.
EE,Excelerate Energy
MGEE,MGE Energy
TAC,TransAlta Corporation
FLNC,Fluence Energy
OTTR,Otter Tail Corporation
