ticker,name
PLD,Prologis
AMT,American Tower Corporation
EQIX,Equinix
CCI,Crown Castle Inc.
PSA,Public Storage
SPG-PJ,Simon Property Group
SPG,Simon Property Group
O,Realty Income Corporation
PSA-PH,Public Storage
PSA-PK,Public Storage
CSGP,CoStar Group
VICI,VICI Properties Inc.
SBAC,SBA Communications Corporation
WELL,Welltower Inc.
DLR,Digital Realty Trust
EQR,Equity Residential
ARE,Alexandria Real Estate Equities
CBRE,CBRE Group
DLR-PK,Digital Realty Trust
AVB,AvalonBay Communities
WY,Weyerhaeuser Company
DLR-PJ,Digital Realty Trust
UDR,UDR
EXR,Extra Space Storage Inc.
MAA,Mid-America Apartment Communities
INVH,Invitation Homes Inc.
BEKE,KE Holdings Inc.
VTR,Ventas
SUI,Sun Communities
WPC,W. P. Carey Inc.
IRM,Iron Mountain Incorporated
ESS,Essex Property Trust
PEAK,Healthpeak Properties
KIM,Kimco Realty Corporation
GLPI,Gaming and Leisure Properties
AMH,American Homes 4 Rent
HST,Host Hotels & Resorts
ELS,Equity LifeStyle Properties
NLY-PF,Annaly Capital Management
CPT,Camden Property Trust
NLY-PG,Annaly Capital Management
MAA-PI,Mid-America Apartment Communities
REG,Regency Centers Corporation
BPYPP,Brookfield Property Partners L.P.
REXR,Rexford Industrial Realty
BXP,Boston Properties
NLY,Annaly Capital Management
LAMR,Lamar Advertising Company
CUBE,CubeSmart
LSI,Life Storage
VNO-PL,Vornado Realty Trust
STOR,STORE Capital Corporation
VNO-PM,Vornado Realty Trust
FRT,Federal Realty Investment Trust
FRT-PC,Federal Realty Investment Trust
AGNCN,AGNC Investment Corp.
AMH-PH,American Homes 4 Rent
NNN,National Retail Properties
JLL,Jones Lang LaSalle Incorporated
COLD,Americold Realty Trust
AMH-PG,American Homes 4 Rent
HR,Healthcare Realty Trust Incorporated
AGNCM,AGNC Investment Corp.
MPW,Medical Properties Trust
OHI,Omega Healthcare Investors
KIM-PM,Kimco Realty Corporation
BRX,Brixmor Property Group Inc.
KIM-PL,Kimco Realty Corporation
EGP,EastGroup Properties
FR,First Industrial Realty Trust
STWD,Starwood Property Trust
ADC,Agree Realty Corporation
STAG,STAG Industrial
SLG-PI,SL Green Realty Corp.
OFC,Corporate Office Properties Trust
SRC,Spirit Realty Capital
AGNC,AGNC Investment Corp.
AIRC,Apartment Income REIT Corp.
FSV,FirstService Corporation
NSA,National Storage Affiliates Trust
RYN,Rayonier Inc.
RHP,Ryman Hospitality Properties
KRG,Kite Realty Group Trust
KRC,Kilroy Realty Corporation
VNO,Vornado Realty Trust
TRNO,Terreno Realty Corporation
PECO,Phillips Edison & Company
RITM,Rithm Capital Corp.
IRT,Independence Realty Trust
EPR-PG,EPR Properties
BXMT,Blackstone Mortgage Trust
CIGI,Colliers International Group Inc.
HHC,The Howard Hughes Corporation
CUZ,Cousins Properties Incorporated
PCH,PotlatchDeltic Corporation
APLE,Apple Hospitality REIT
REXR-PB,Rexford Industrial Realty
PSB-PY,PS Business Parks
EQC-PD,Equity Commonwealth
PSB-PX,PS Business Parks
