ticker,name
WMT,Walmart Inc.
PG,The Procter & Gamble Company
KO,The Coca-Cola Company
PEP,PepsiCo
COST,Costco Wholesale Corporation
PM,Philip Morris International Inc.
FMX,Fomento Económico Mexicano
UL,Unilever PLC
BUD,Anheuser-Busch InBev SA/NV
DEO,Diageo plc
MDLZ,Mondelez International
BTI,British American Tobacco p.l.c.
EL,The Estée Lauder Companies Inc.
MO,Altria Group
TGT,Target Corporation
CL,Colgate-Palmolive Company
DG,Dollar General Corporation
MNST,Monster Beverage Corporation
KDP,Keurig Dr Pepper Inc.
GIS,General Mills
ADM,Archer-Daniels-Midland Company
KHC,The Kraft Heinz Company
HSY,The Hershey Company
KMB,Kimberly-Clark Corporation
STZ,Constellation Brands
SYY,Sysco Corporation
BF-A,Brown-Forman Corporation
BF-B,Brown-Forman Corporation
DLTR,Dollar Tree
KR,The Kroger Co.
HRL,Hormel Foods Corporation
K,Kellogg Company
CCEP,Coca-Cola Europacific Partners PLC
MKC,McCormick & Company
TSN,Tyson Foods
MKC-V,McCormick & Company
CHD,Church & Dwight Co.
CAG,Conagra Brands
CLX,The Clorox Company
CPB,Campbell Soup Company
SJM,The J. M. Smucker Company
BG,Bunge Limited
KOF,Coca-Cola FEMSA
TAP-A,Molson Coors Beverage Company
LW,Lamb Weston Holdings
TAP,Molson Coors Beverage Company
ACI,Albertsons Companies
DAR,Darling Ingredients Inc.
PFGC,Performance Food Group Company
BJ,BJ's Wholesale Club Holdings
USFD,US Foods Holding Corp.
COTY,Coty Inc.
INGR,Ingredion Incorporated
FLO,Flowers Foods
NWL,Newell Brands Inc.
PPC,Pilgrim's Pride Corporation
EDU,New Oriental Education & Technology Group Inc.
LANC,Lancaster Colony Corporation
POST,Post Holdings
ASAI,Sendas Distribuidora S.A.
COKE,Coca-Cola Consolidated
FIZZ,National Beverage Corp.
SAM,The Boston Beer Company
TAL,TAL Education Group
SFM,Sprouts Farmers Market
CHGG,Chegg
BRBR,BellRing Brands
LOPE,Grand Canyon Education
TR,Tootsie Roll Industries
JJSF,J&J Snack Foods Corp.
IPAR,Inter Parfums
NOMD,Nomad Foods Limited
ELF,e.l.f. Beauty
GHC,Graham Holdings Company
GO,Grocery Outlet Holding Corp.
CALM,Cal-Maine Foods
THS,TreeHouse Foods
MGPI,MGP Ingredients
PRMW,Primo Water Corporation
IBA,Industrias Bachoco
SPB,South Pacific Resources Ltd
DNUT,Krispy Kreme
UNFI,United Natural Foods
HELE,Helen of Troy Limited
WMK,Weis Markets
CCU,Compañía Cervecerías Unidas S.A.
EPC,Edgewell Personal Care Company
NUS,Nu Skin Enterprises
PSMT,PriceSmart
NAPA,The Duckhorn Portfolio
CENTA,Central Garden & Pet Company
CENT,Central Garden & Pet Company
AKO-B,Embotelladora Andina S.A.
STRA,Strategic Education
COUR,Coursera
IMKTA,Ingles Markets
AKO-A,Embotelladora Andina S.A.
VGR,Vector Group Ltd.
UDMY,Udemy
ATGE,Adtalem Global Education Inc.
