ticker,name
AMZN,Amazon.com
TSLA,Tesla
HD,The Home Depot
BABA,Alibaba Group Holding Limited
MCD,McDonald's Corporation
TM,Toyota Motor Corporation
NKE,NIKE
LOW,Lowe's Companies
SBUX,Starbucks Corporation
PDD,Pinduoduo Inc.
JD,JD.com
TJX,The TJX Companies
BKNG,Booking Holdings Inc.
ABNB,Airbnb
F,Ford Motor Company
GM,General Motors Company
ORLY,O'Reilly Automotive
MAR,Marriott International
STLA,Stellantis N.V.
AZO,AutoZone
MELI,MercadoLibre
CMG,Chipotle Mexican Grill
LULU,Lululemon Athletica Inc.
HMC,Honda Motor Co.
RACE,Ferrari N.V.
ROST,Ross Stores
LVS,Las Vegas Sands Corp.
HLT,Hilton Worldwide Holdings Inc.
YUM,Yum! Brands
SE,Sea Limited
CPNG,Coupang
DHI,D.R. Horton
QSR,Restaurant Brands International Inc.
CPRT,Copart
MBLY,Mobileye Global Inc.
APTV,Aptiv PLC
LEN,Lennar Corporation
LEN-B,Lennar Corporation
GPC,Genuine Parts Company
YUMC,Yum China Holdings
EBAY,eBay Inc.
TSCO,Tractor Supply Company
ULTA,Ulta Beauty
LI,Li Auto Inc.
RIVN,Rivian Automotive
NIO,NIO Inc.
TCOM,Trip.com Group Limited
TTM,Tata Motors Limited
ROL,Rollins
AMCR,Amcor plc
BBY,Best Buy Co.
CHWY,Chewy
DRI,Darden Restaurants
BALL,Ball Corporation
MGA,Magna International Inc.
ETSY,Etsy
NVR,NVR
LKQ,LKQ Corporation
EXPE,Expedia Group
MGM,MGM Resorts International
RCL,Royal Caribbean Cruises Ltd.
HTHT,H World Group Limited
IP,International Paper Company
LCID,Lucid Group
DPZ,Domino's Pizza
BURL,Burlington Stores
PKG,Packaging Corporation of America
CCL,Carnival Corporation & plc
CZR,Caesars Entertainment
VFC,V.F. Corporation
IHG,InterContinental Hotels Group PLC
SCI,Service Corporation International
KMX,CarMax
PHM,PulteGroup
MTN,Vail Resorts
CUK,Carnival Corporation & plc
H,Hyatt Hotels Corporation
DECK,Deckers Outdoor Corporation
CCK,Crown Holdings
AN,AutoNation
FIVE,Five Below
WYNN,Wynn Resorts
DKS,DICK'S Sporting Goods
XPEV,XPeng Inc.
BWA,BorgWarner Inc.
BBWI,Bath & Body Works
WRK,WestRock Company
TPR,Tapestry
CASY,Casey's General Stores
PAG,Penske Automotive Group
FND,Floor & Decor Holdings
AAP,Advance Auto Parts
CHDN,Churchill Downs Incorporated
HAS,Hasbro
WHR,Whirlpool Corporation
VIPS,Vipshop Holdings Limited
WSM,Williams-Sonoma
LEA,Lear Corporation
SEE,Sealed Air Corporation
BERY,Berry Global Group
CPRI,Capri Holdings Limited
RL,Ralph Lauren Corporation
ALV,Autoliv
PLNT,Planet Fitness
GPK,Graphic Packaging Holding Company
HOG,Harley-Davidson
TXRH,Texas Roadhouse
LEVI,Levi Strauss & Co.
SKX,Skechers U.S.A.
GME,GameStop Corp.
REYN,Reynolds Consumer Products Inc.
MHK,Mohawk Industries
GNTX,Gentex Corporation
HRB,H&R Block
WH,Wyndham Hotels & Resorts
MUSA,Murphy USA Inc.
CHH,Choice Hotels International
NCLH,Norwegian Cruise Line Holdings Ltd.
PII,Polaris Inc.
DOOO,BRP Inc.
RH,RH
BYD,Boyd Gaming Corporation
DKNG,DraftKings Inc.
MAT,Mattel
LNW,Light & Wonder
LAD,Lithia Motors
SON,Sonoco Products Company
CROX,Crocs
TPX,Tempur Sealy International
SLGN,Silgan Holdings Inc.
M,Macy's
TOL,Toll Brothers
ONON,On Holding AG
COLM,Columbia Sportswear Company
VAC,Marriott Vacations Worldwide Corporation
BROS,Dutch Bros Inc.
BC,Brunswick Corporation
DDS,Dillard's
PENN,PENN Entertainment
MLCO,Melco Resorts & Entertainment Limited
